key,summary,issue_type,status,priority,scrum_team,assignee,reporter,created,updated,resolved,components,labels,description
ACO-1001,Grant VPN access for new contractor,Service Request,Done,Medium,Antuit CloudOps,ops-user,reporter-a,2026-01-15,2026-01-16,2026-01-16,Infrastructure,access|manual,Please grant VPN access to contractor john.doe
ACO-1002,Grant RBAC access to production namespace,Service Request,Done,High,Antuit CloudOps,ops-user,reporter-b,2026-01-22,2026-01-22,2026-01-22,Kubernetes,access|manual,Need service account and role binding for CI pipeline
ACO-1003,Pod OOMKilled in payment-service namespace,Incident,Resolved,High,Antuit CloudOps,sre-user,reporter-c,2026-02-03,2026-02-04,2026-02-04,Payments,oom|capacity,Pod repeatedly OOMKilled exit code 137 memory limit too low
ACO-1004,Datadog CPU alert false positive on idle pods,Incident,Resolved,Low,Antuit CloudOps,sre-user,reporter-d,2026-02-10,2026-02-10,2026-02-10,Monitoring,monitor-noise|datadog,Noisy monitor flapping Alert OK every few minutes no customer impact
ACO-1005,TLS certificate expiry on ingress api.example.com,Incident,Resolved,Critical,Antuit CloudOps,platform-user,reporter-e,2026-02-18,2026-02-18,2026-02-18,Security,secret|certificate,Certificate expired causing SSL handshake failures
ACO-1006,ExternalSecret sync failure after rotation,Incident,Resolved,High,Antuit CloudOps,platform-user,reporter-f,2026-03-01,2026-03-02,2026-03-02,Security,secret|eso,ExternalSecret SecretSyncedError after AWS Secrets Manager rotation
ACO-1007,Database connection pool exhausted postgres-prod,Bug,Resolved,Critical,Antuit DBA,dba-user,reporter-g,2026-03-12,2026-03-12,2026-03-12,Database,dba|connections,Too many connections application cannot connect max_connections reached
ACO-1008,Replication lag on read replica exceeds 60s,Incident,Resolved,High,Antuit DBA,dba-user,reporter-h,2026-03-20,2026-03-21,2026-03-21,Database,replication|dba,Read replica lag causing stale data on reporting API
ACO-1009,ArgoCD sync failure after helm upgrade,Bug,Open,Medium,Antuit CloudOps,platform-user,reporter-i,2026-04-05,2026-04-06,,GitOps,deployment|argocd,Helm upgrade failed ArgoCD app Degraded need force sync
ACO-1010,Node disk pressure causing pod evictions,Incident,Resolved,High,Antuit CloudOps,sre-user,reporter-j,2026-04-15,2026-04-16,2026-04-16,Kubernetes,capacity|eviction,Node DiskPressure true pods evicted ephemeral-storage low
ACO-1011,Grant VPN access for vendor team,Service Request,Done,Medium,Antuit CloudOps,ops-user,reporter-k,2026-05-02,2026-05-03,2026-05-03,Infrastructure,access|manual,Grant VPN access for external vendor audit team
ACO-1012,Critical CVE blocking deployment pipeline,Incident,Open,Critical,Antuit CloudOps,sec-user,reporter-l,2026-05-18,2026-05-19,,Security,cve|vulnerability,Image scan failed critical CVE in base image blocking deploy
ACO-1013,Increase memory limit for api-gateway pods,Service Request,Done,Medium,Antuit CloudOps,sre-user,reporter-m,2026-06-01,2026-06-02,2026-06-02,Kubernetes,capacity|manual,Please increase memory limits pods hitting OOM
ACO-1014,Silence noisy Datadog monitor for staging,Bug,Resolved,Low,Antuit CloudOps,sre-user,reporter-n,2026-06-10,2026-06-10,2026-06-10,Monitoring,monitor-noise|datadog,False positive alert needs threshold adjustment
ACO-1015,Restart pods after secret rotation manually,Service Request,Done,Medium,Antuit CloudOps,platform-user,reporter-o,2026-07-08,2026-07-08,2026-07-08,Security,secret|manual,Manually restart deployments after credential rotation
ACO-1016,Slow query causing lock wait on orders table,Bug,Resolved,High,Antuit DBA,dba-user,reporter-p,2026-07-22,2026-07-23,2026-07-23,Database,dba|performance,Long running query blocking replication and causing lock wait
